AMPK_quartile,cells,mean_AMPK,fate,mean_probability
Q1 low,2918,-0.20098615201815265,contractile VSMC,0.19514622078393878
Q1 low,2918,-0.20098615201815265,synthetic VSMC,0.22953846917522944
Q1 low,2918,-0.20098615201815265,inflammatory VSMC,0.18671186995312336
Q1 low,2918,-0.20098615201815265,ECM-remodeling VSMC,0.17989357744952367
Q1 low,2918,-0.20098615201815265,metabolic-stress VSMC,0.20870986263818478
Q2,2918,-0.08706507743192977,contractile VSMC,0.19302778656760733
Q2,2918,-0.08706507743192977,synthetic VSMC,0.2271169549811697
Q2,2918,-0.08706507743192977,inflammatory VSMC,0.18007744522486036
Q2,2918,-0.08706507743192977,ECM-remodeling VSMC,0.18183008716954444
Q2,2918,-0.08706507743192977,metabolic-stress VSMC,0.21794772605681817
Q3,2918,0.009614835789327304,contractile VSMC,0.18286309043842353
Q3,2918,0.009614835789327304,synthetic VSMC,0.20861491884224254
Q3,2918,0.009614835789327304,inflammatory VSMC,0.22548575642126445
Q3,2918,0.009614835789327304,ECM-remodeling VSMC,0.17087666822213463
Q3,2918,0.009614835789327304,metabolic-stress VSMC,0.21215956607593486
Q4 high,2917,0.178141946646224,contractile VSMC,0.17298214823921085
Q4 high,2917,0.178141946646224,synthetic VSMC,0.18171009574534877
Q4 high,2917,0.178141946646224,inflammatory VSMC,0.28233435606547347
Q4 high,2917,0.178141946646224,ECM-remodeling VSMC,0.17317721066912228
Q4 high,2917,0.178141946646224,metabolic-stress VSMC,0.18979618928084466
