status,fate,rho,p,cells,p_adj_BH
STA,contractile VSMC,0.032963070679682197,0.002069265777804476,8729,0.0034487762963407937
STA,synthetic VSMC,-0.05063787566373171,2.2077763255534016e-6,8729,5.519440813883504e-6
STA,inflammatory VSMC,0.11981604300645012,2.801765343081275e-29,8729,1.4008826715406376e-28
STA,ECM-remodeling VSMC,0.028293798661823924,0.008202582918813255,8729,0.010253228648516568
STA,metabolic-stress VSMC,0.0016593103802911941,0.876816737245723,8729,0.876816737245723
Unruptured,contractile VSMC,NA,NA,0,NA
Unruptured,synthetic VSMC,NA,NA,0,NA
Unruptured,inflammatory VSMC,NA,NA,0,NA
Unruptured,ECM-remodeling VSMC,NA,NA,0,NA
Unruptured,metabolic-stress VSMC,NA,NA,0,NA
Ruptured,contractile VSMC,-0.05198248673315619,0.004798634207772719,2942,0.005998292759715898
Ruptured,synthetic VSMC,-0.09095120062510667,7.757975136786133e-7,2942,3.878987568393067e-6
Ruptured,inflammatory VSMC,0.0605417300901,0.0010183252840122042,2942,0.001697208806687007
Ruptured,ECM-remodeling VSMC,-0.07816476379866953,2.1921233549151375e-5,2942,5.4803083872878434e-5
Ruptured,metabolic-stress VSMC,-0.025982525791943316,0.15885394341419,2942,0.15885394341419
