sample,status,AMPK_within_sample_group,cells,mean_AMPK,mean_pseudotime,fate_contractile.VSMC,fate_synthetic.VSMC,fate_inflammatory.VSMC,fate_ECM.remodeling.VSMC,fate_metabolic.stress.VSMC
ACom_RR,Ruptured,within-sample low,504,-0.07975486018805833,0.6587235765588012,0.10281146811128632,0.08373403463679929,0.6134217699087782,0.0876062402594337,0.11242648708370254
ACom_RR,Ruptured,within-sample high,504,0.1648103252087662,0.6796231377685349,0.09784654584638573,0.08027277310828079,0.6264697334368781,0.0854604188003556,0.10995052880809981
MCA_R1,Ruptured,within-sample low,269,-0.08003136473370612,0.6922392087906007,0.09171925179038112,0.07745857291867729,0.6294873025288549,0.09254911057983584,0.10878576218225089
MCA_R1,Ruptured,within-sample high,270,0.15667111227175237,0.7117530181557857,0.09344451392319311,0.07759152330408318,0.6231201553492755,0.09281963624379119,0.11302417117965705
MCA_R2,Ruptured,within-sample low,694,-0.1372310844779011,0.5730934875134477,0.15863285204502098,0.12742977286202456,0.4421336602618315,0.12013192696321098,0.15167178786791205
MCA_R2,Ruptured,within-sample high,695,0.14178200005121372,0.6364919208935174,0.13181915668574384,0.11404731998366806,0.5086392353073383,0.10835344281530544,0.13714084520794426
PICA_U,Ruptured,within-sample low,3,-0.18122819117065567,0.6540306875907934,0.08748404071090081,0.08384151968130878,0.6210693800098366,0.10306193020587202,0.10454312939208187
PICA_U,Ruptured,within-sample high,3,0.13845848322538568,0.6935864451847684,0.08146729618742435,0.06814428724893186,0.6607687081477984,0.09148274849444067,0.09813695992140477
STA1,STA,within-sample low,2142,-0.18160951161377803,0.256761423077473,0.21111200539700994,0.25630328096184,0.08337678628078948,0.20744838374436528,0.24175954361599528
STA1,STA,within-sample high,2143,0.019846793163512188,0.2608305402958621,0.21169783802526343,0.2276485620225651,0.09020389303416798,0.21747245455003497,0.25297725236796853
STA2,STA,within-sample low,2194,-0.11813738091615644,0.2887233652733084,0.2038615095605731,0.2625369713530692,0.13347243369407435,0.18201202673419706,0.2181170586580863
STA2,STA,within-sample high,2195,0.11215385263830302,0.2700884195973785,0.20444870591569253,0.2542658943129081,0.11599383981940037,0.20044284606866583,0.22484871388333316
STA3,STA,within-sample low,27,-0.1073062019034749,0.3695876447512578,0.30053415927127064,0.1219852759917456,0.10776067203630148,0.24411174585619058,0.2256081468444917
STA3,STA,within-sample high,28,0.09782166350308745,0.38226882851568755,0.2716717072548142,0.15859830789015142,0.1036797669641053,0.23381760551774722,0.23223261237318182
