regulon,regulon_tf,vsmc_state,STA,Ruptured,delta_Ruptured_minus_STA
STAT1 (80g),STAT1,synthetic VSMC,0.0690017182130584,0.167303590472805,0.0983018722597466
STAT1 (80g),STAT1,ECM-remodeling VSMC,0.074803264604811,0.163240979381443,0.088437714776632
CEBPD (45g),CEBPD,metabolic-stress VSMC,0.13683164983165,0.0586731512657439,-0.07815849856590609
CEBPD (45g),CEBPD,ECM-remodeling VSMC,0.137159371492705,0.0691217732884399,-0.0680375982042651
STAT1 (80g),STAT1,contractile VSMC,0.0775704467353952,0.142307055707935,0.0647366089725398
CEBPD (45g),CEBPD,contractile VSMC,0.129409652076319,0.0672134185895654,-0.0621962334867536
IRF1 (47g),IRF1,inflammatory VSMC,0.154572831423895,0.21671031096563,0.06213747954173501
JUN (20g),JUN,synthetic VSMC,0.150995753715499,0.089830880737975,-0.061164872977524
JUN (20g),JUN,contractile VSMC,0.150980891719745,0.0904750774265178,-0.0605058142932272
JUN (20g),JUN,inflammatory VSMC,0.195386411889597,0.135970276008493,-0.059416135881103976
CEBPD (45g),CEBPD,synthetic VSMC,0.122472502805836,0.0814582607686056,-0.041014242037230406
JUN (20g),JUN,metabolic-stress VSMC,0.156371549893843,0.119892663364001,-0.03647888652984199
STAT1 (80g),STAT1,metabolic-stress VSMC,0.0742207903780069,0.109137552500955,0.0349167621229481
FOXO1 (60g),FOXO1,inflammatory VSMC,0.0821405508072175,0.116327635327635,0.03418708452041751
IRF1 (47g),IRF1,metabolic-stress VSMC,0.021342062193126,0.0444323210280657,0.0230902588349397
IRF1 (47g),IRF1,ECM-remodeling VSMC,0.0208597926895799,0.0421576650300055,0.021297872340425603
FOXO1 (60g),FOXO1,ECM-remodeling VSMC,0.0217910731244065,0.0423195631528965,0.02052849002849
IRF1 (47g),IRF1,contractile VSMC,0.0243022367703219,0.0445066742743885,0.0202044375040666
IRF1 (47g),IRF1,synthetic VSMC,0.022949263502455,0.0421694226536486,0.0192201591511936
ELF1 (28g),ELF1,inflammatory VSMC,0.109797059763503,0.12834451901566,0.018547459252156992
ETS1 (114g),ETS1,metabolic-stress VSMC,0.00185478379298604,0.0167428025574093,0.01488801876442326
ETS1 (114g),ETS1,contractile VSMC,0.00374191351719442,0.0183650232871963,0.014623109770001879
FOXO3 (22g),FOXO3,metabolic-stress VSMC,0.00593548387096774,0.0200065167807103,0.01407103290974256
ETS1 (114g),ETS1,ECM-remodeling VSMC,0.00292560435818863,0.0153004766768812,0.012374872318692571
FOXO3 (22g),FOXO3,inflammatory VSMC,0.0210752688172043,0.0326217008797654,0.011546432062561104
JUN (20g),JUN,ECM-remodeling VSMC,0.127738853503185,0.138826963906582,0.011088110403396995
ETS1 (114g),ETS1,synthetic VSMC,0.00269322437861764,0.0121693494417245,0.00947612506310686
STAT1 (80g),STAT1,inflammatory VSMC,0.0316202749140893,0.0408951890034364,0.009274914089347101
ELF1 (28g),ELF1,ECM-remodeling VSMC,0.00249920102269096,0.00812959411952701,0.0056303930968360505
FOXO3 (22g),FOXO3,synthetic VSMC,0.00561094819159335,0.0102133683891192,0.004602420197525851
ELF1 (28g),ELF1,contractile VSMC,0.00127037392138063,0.00584939351025183,0.0045790195888712
CEBPD (45g),CEBPD,inflammatory VSMC,0.0137934904601571,0.00926599326599327,-0.004527497194163831
ELF1 (28g),ELF1,synthetic VSMC,5.0495365931607e-4,0.00414917181869276,0.0036442181593766905
FOXO1 (60g),FOXO1,metabolic-stress VSMC,0.010962962962963,0.0144824311490978,0.0035194681861348
ELF1 (28g),ELF1,metabolic-stress VSMC,2.0613614573346e-4,0.00284524697276375,0.00263911082703029
FOXO1 (60g),FOXO1,synthetic VSMC,0.0159553656220323,0.018164849199332,0.0022094835772996993
FOXO3 (22g),FOXO3,contractile VSMC,0.00900293255131965,0.0108262261562054,0.001823293604885751
FOXO1 (60g),FOXO1,contractile VSMC,0.0127122507122507,0.0140751195797067,0.0013628688674559991
ETS1 (114g),ETS1,inflammatory VSMC,0.242728975144705,0.241506639427988,-0.0012223357167170101
FOXO3 (22g),FOXO3,ECM-remodeling VSMC,0.0162873900293255,0.0154692082111437,-8.181818181817995e-4
