"source","target","n_interactions","status"
"VSMC","VSMC",54,"STA"
"Macrophage","VSMC",8,"STA"
"EC","VSMC",48,"STA"
"Fibroblast","VSMC",55,"STA"
"T_NK","VSMC",6,"STA"
"VSMC","Macrophage",47,"STA"
"Macrophage","Macrophage",22,"STA"
"EC","Macrophage",37,"STA"
"Fibroblast","Macrophage",36,"STA"
"T_NK","Macrophage",12,"STA"
"VSMC","EC",71,"STA"
"Macrophage","EC",10,"STA"
"EC","EC",68,"STA"
"Fibroblast","EC",73,"STA"
"T_NK","EC",5,"STA"
"VSMC","Fibroblast",31,"STA"
"Macrophage","Fibroblast",8,"STA"
"EC","Fibroblast",31,"STA"
"Fibroblast","Fibroblast",37,"STA"
"T_NK","Fibroblast",6,"STA"
"VSMC","T_NK",24,"STA"
"Macrophage","T_NK",9,"STA"
"EC","T_NK",22,"STA"
"Fibroblast","T_NK",24,"STA"
"T_NK","T_NK",7,"STA"
"VSMC","VSMC",75,"Ruptured"
"Macrophage","VSMC",24,"Ruptured"
"EC","VSMC",54,"Ruptured"
"Fibroblast","VSMC",54,"Ruptured"
"T_NK","VSMC",15,"Ruptured"
"VSMC","Macrophage",38,"Ruptured"
"Macrophage","Macrophage",19,"Ruptured"
"EC","Macrophage",28,"Ruptured"
"Fibroblast","Macrophage",25,"Ruptured"
"T_NK","Macrophage",9,"Ruptured"
"VSMC","EC",55,"Ruptured"
"Macrophage","EC",22,"Ruptured"
"EC","EC",60,"Ruptured"
"Fibroblast","EC",32,"Ruptured"
"T_NK","EC",12,"Ruptured"
"VSMC","Fibroblast",29,"Ruptured"
"Macrophage","Fibroblast",3,"Ruptured"
"EC","Fibroblast",15,"Ruptured"
"Fibroblast","Fibroblast",14,"Ruptured"
"T_NK","Fibroblast",1,"Ruptured"
"VSMC","T_NK",29,"Ruptured"
"Macrophage","T_NK",13,"Ruptured"
"EC","T_NK",22,"Ruptured"
"Fibroblast","T_NK",18,"Ruptured"
"T_NK","T_NK",7,"Ruptured"
