gene,group1,group2,p_value,p_label,y.position,measure
SIRT1,STA,UIA,0.002694262019296012,P = 0.003,11.200789820388827,gene_expression
SIRT1,UIA,RIA,0.8262002033788082,P = 0.826,11.59596753784144,gene_expression
SIRT1,STA,RIA,6.243383966983984e-4,P = 6.2e-04,11.991145255294056,gene_expression
PRKAA1,STA,UIA,0.6681701611064073,P = 0.668,9.347805906874262,gene_expression
PRKAA1,UIA,RIA,0.033788839383669576,P = 0.034,9.638183243752138,gene_expression
PRKAA1,STA,RIA,0.08316314893631081,P = 0.083,9.928560580630016,gene_expression
PRKAA2,STA,UIA,0.012048283642041469,P = 0.012,8.366013911583018,gene_expression
PRKAA2,UIA,RIA,0.12428287406255234,P = 0.124,9.324134266752205,gene_expression
PRKAA2,STA,RIA,0.0011823251033786786,P = 0.001,10.28225462192139,gene_expression
PPARGC1A,STA,UIA,0.005857099085284201,P = 0.006,10.937167155278148,gene_expression
PPARGC1A,UIA,RIA,0.16432927953806642,P = 0.164,12.234572364147425,gene_expression
PPARGC1A,STA,RIA,0.005128520196060915,P = 0.005,13.5319775730167,gene_expression
TFAM,STA,UIA,0.03208873397823142,P = 0.032,9.61050751785333,gene_expression
TFAM,UIA,RIA,0.7143930376343264,P = 0.714,9.956639371094086,gene_expression
TFAM,STA,RIA,0.08316314893631072,P = 0.083,10.302771224334844,gene_expression
IL1B,STA,UIA,0.0026942620192959136,P = 0.003,13.881659853816107,gene_expression
IL1B,UIA,RIA,0.06727796053834911,P = 0.067,15.245053376150935,gene_expression
IL1B,STA,RIA,8.623589494580735e-4,P = 8.6e-04,16.60844689848576,gene_expression
CCL2,STA,UIA,0.19844930359201232,P = 0.198,18.26747892010428,gene_expression
CCL2,UIA,RIA,0.12428287406255237,P = 0.124,19.56869304887305,gene_expression
CCL2,STA,RIA,0.02948936338440756,P = 0.029,20.86990717764182,gene_expression
COL1A1,STA,UIA,0.0026942620192959136,P = 0.003,18.677890948937904,gene_expression
COL1A1,UIA,RIA,0.6084078002329985,P = 0.608,19.801725499842007,gene_expression
COL1A1,STA,RIA,4.486680403783123e-4,P = 4.5e-04,20.925560050746114,gene_expression
MMP9,STA,UIA,0.004000143180694594,P = 0.004,18.00654427455741,gene_expression
MMP9,UIA,RIA,0.023270292009950788,P = 0.023,19.48672186093887,gene_expression
MMP9,STA,RIA,0.002915085858374123,P = 0.003,20.96689944732033,gene_expression
